1,ORDER001,好喝 解渴,农夫山泉,2.5,21-2-11 下午8:25,admin
2,ORDER002,好喝 贵族,百岁山,25.0,21-2-11 下午8:25,admin
3,ORDER003,好喝 矿泉水 解渴,冰露,1.0,21-2-11 下午2:52,admin
4,ORDER004,矿泉水 解渴,哇哈哈,3.0,21-2-12 下午2:54,admin
5,ORDER005,可乐 好喝 贵 量大,大瓶百事,25.0,21-2-12 下午2:55,admin
6,ORDER006,方便 好用 量小,小瓶洗衣液,7.0,21-2-12 下午2:55,admin
7,ORDER007,刷牙 好用 不贵,牙刷,10.0,21-2-12 下午3:16,admin
8,ORDER008,日用品 沐浴 好用,沐浴液,8.0,21-2-14 上午12:37,admin
9,ORDER9,汤面 方便面,日式豚骨拉面,8.0,21-2-14 上午12:45,admin
10,ORDER10,方便面 好吃 牛肉,牛肉板面,5.0,21-2-14 上午12:47,Amine
11,ORDER11,好吃,鱿鱼丝,15.0,21-2-13 上午10:45,admin
12,ORDER12,可乐 好喝 贵 量大,大瓶百事,25.0,21-2-13 下午10:57,Amine
13,ORDER13,可乐 好喝 不贵,百事可乐,4.0,21-2-14 下午11:01,admin
14,ORDER14,可乐 好喝 便宜,雪碧,3.0,21-2-14 下午3:46,admin
15,ORDER15,可乐 好喝 贵 量大,大瓶百事,25.0,21-2-14 下午3:48,Amine
16,ORDER16,日用品 沐浴 好用,沐浴液,8.0,21-2-14 下午4:28,Amine
17,ORDER17,可乐 好喝 贵 量大,大瓶百事,25.0,21-2-14 下午6:19,Amine
18,ORDER18,可乐 好喝 贵 量大,大瓶百事,25.0,21-2-15 下午7:04,admin
19,ORDER19,可乐 好喝 贵 量大,大瓶百事,25.0,21-2-15 下午7:10,admin
20,ORDER20,好吃,芒果干,15.0,21-2-15 下午8:02,admin
21,ORDER21,好吃 量小 多样 坚果,每日坚果,5.0,21-2-16 上午12:30,admin
22,ORDER22,芬达 好喝 不贵,芬达,4.0,21-2-16 上午12:38,Amine
23,ORDER23,特别好吃 量大 坚果,碧根果,35.0,21-2-14 下午11:57,admin
24,ORDER24,特别好吃 量大 坚果,碧根果,35.0,21-2-4 上午12:06,Amine
25,ORDER25,特别好吃 量大 坚果,碧根果,35.0,21-2-13 下午6:16,Ray
26,ORDER26,特别好吃 量大 坚果 甜 碧根果,碧根果,35.0,21-2-16 下午12:35,admin
27,ORDER27,方便面 好吃 牛肉 统一,统一牛肉面,5.0,21-2-16 下午12:35,admin
28,ORDER28,好吃 量小 多样 坚果,每日坚果,5.0,21-2-16 下午12:35,admin
29,ORDER29,特别好吃 量大 坚果 甜 碧根果,碧根果,35.0,21-2-17 下午3:15,admin
30,ORDER30,剔牙 好用 方便 牙签,牙签,3.0,21-2-17 下午3:20,admin
31,ORDER31,好吃 量小 多样 坚果,每日坚果,5.0,21-2-17 下午3:20,admin
32,ORDER32,汽水 好喝 贵 量大 甜 百事,大瓶百事,25.0,21-2-17 下午3:20,admin
